pattern,entity
What majors are available in the BS-MS program?,bs-to-ms
What is the CS Foundation Exam?,foundation-exam
What is the Computer Science Foundation Exam?,foundation-exam
What is the Foundation Exam in the CS major?,foundation-exam
What is the FE for Computer Science students?,foundation-exam
What is the Computer Science FE?,foundation-exam
How do I sign up for the CS Foundation Exam?,foundation-exam
How do I enroll in the CS Foundation Exam?,foundation-exam
What is the process to sign up for the Computer Science FE exam?,foundation-exam
What is the process to sign up for the Computer Science Foundation Exam?,foundation-exam
What do I have to do to sign up for the CS Foundation Exam?,foundation-exam
Am I eligible to take the CS Foundation Exam?,foundation-exam
How do I check if I am eligible to take the Computer Science FE exam?,foundation-exam
What are the eligibility requirements to take the Computer Science Foundation Exam?,foundation-exam
Can I take CS Foundation Exam?,foundation-exam
How do I check if I can take the Computer Science Foundation Exam?,foundation-exam
What do I do once I pass the CS Foundation Exam?,foundation-exam
"Once I pass the Computer Science foundation, what are the next steps?",foundation-exam
What are the next steps after passing the CS Foundation Exam?,foundation-exam
What do I do once I pass the Computer Science FE exam?,foundation-exam
"Once I pass the CS Foundation Exam, what do I do?",foundation-exam
Do I need to take the CS Foundation Exam?,foundation-exam
How do I know if I need to take the Computer Science Foundation Exam?,foundation-exam
How do I check if I am ready to take the Computer Science FE?,foundation-exam
Do I need to take the Computer Science Foundation Exam?,foundation-exam
Do I need to take the foundation exam?,foundation-exam
What is the computer science major?,major-cs
What is the CS major?,major-cs
What does the CS major entail?,major-cs
What does the computer science minor major?,major-cs
Is there a computer science major?,major-cs
How many credit hours is the computer science major?,major-cs
How many classes make up a CS major?,major-cs
How many credits do I need to have a computer science major?,major-cs
What is the number of credit hours in the CS major?,major-cs
How many courses does it take to get a major in computer science?,major-cs
What are the requirements for the computer science major?,major-cs
What classes do I need to take in the computer science major?,major-cs
What classes do I need to complete the CS major?,major-cs
What courses are part of the CS major?,major-cs
What are the required courses in the computer science major?,major-cs
Can I take a computer science course if I am not a computer science major?,major-cs
Can I take a CS class if I'm not a CS major?,major-cs
Are CS courses only for CS majors?,major-cs
Are computer science courses available to non-CS majors?,major-cs
Can I take a CS course not being a computer science major?,major-cs
Does CHS 1440 count as a science restricted elective in the computer science major?,major-cs
Does the CHS 1440 chemistry course count in the CS major?,major-cs
Does Principles of Chemistry count for the CS major?,major-cs
Does the Principles of Chemistry class meet the computer science major requirements?,major-cs
Can I use the CHS 1440 course to fulfull the CS major requirements?,major-cs
Can I take a graduate-level course in place of an advanced-level core requirement in the computer science major?,major-cs
Can I take a CS grad course as an undergrad?,major-cs
Does a computer science graduate class count for the computer science major?,major-cs
Do grad classes count as advanced CS electives?,major-cs
Can I take a graduate-level class instead of a computer science tech elective?,major-cs
Is there an in-major GPA for the computer science major?,major-cs
Does the CS major have a major GPA?,major-cs
What is my major GPA in computer science?,major-cs
What is my CS major GPA?,major-cs
How do I find my computer science in-major GPA?,major-cs
What is the information technology major?,major-it
What is the IT major?,major-it
What does the IT major entail?,major-it
What does the information technology minor major?,major-it
Is there an information technology major?,major-it
How many credit hours is the information technology major?,major-it
How many classes make up a IT major?,major-it
How many credits do I need to have an information technologymajor?,major-it
What is the number of credit hours in the IT major?,major-it
How many courses does it take to get a major in information technology?,major-it
What are the requirements for the information technology major?,major-it
What classes do I need to take in the information technology major?,major-it
What classes do I need to complete the IT major?,major-it
What courses are part of the IT major?,major-it
What are the required courses in the information technology major?,major-it
Is there an in-major GPA for the information technology major?,major-it
Does the IT major have a major GPA?,major-it
What is my major GPA in information technology?,major-it
What is my IT major GPA?,major-it
How do I find my information technology in-major GPA?,major-it
What is the computer science minor?,minor-cs
What is the CS minor?,minor-cs
What does the CS minor entail?,minor-cs
What does the computer science minor entail?,minor-cs
Is there a computer science minor?,minor-cs
What are the requirements for the computer science minor?,minor-cs
What classes do I need to take in the computer science minor?,minor-cs
What classes do I need to complete the CS minor?,minor-cs
What courses are part of the CS minor?,minor-cs
What are the required courses in the computer science minor?,minor-cs
Can I susbtitute courses in the computer science minor?,minor-cs
Can I make a course substitution in the CS minor?,minor-cs
Can I take a different course in the computer science minor?,minor-cs
Can I change a course requirement in the CS minor?,minor-cs
Can I change a course requirement for an elective in the computer science minor?,minor-cs
How do I sign up for a computer science minor?,minor-cs
How do I enroll in the CS minor?,minor-cs
What is the process to sign up to have a computer science minor?,minor-cs
What is the process to sign up for the CS minor?,minor-cs
What do I have to do to sign up for a computer science minor?,minor-cs
Am I eligible for a computer science minor?,minor-cs
How do I check if I am eligible to have a CS minor?,minor-cs
What are the eligibility requirements to take a computer science minor?,minor-cs
Can I take a CS minor?,minor-cs
How do I check if I can take a computer science minor?,minor-cs
How many credit hours is the computer science minor?,minor-cs
How many classes make up a CS minor?,minor-cs
How many credits do I need to have a computer science minor?,minor-cs
What is the number of credit hours in the CS minor?,minor-cs
How many courses does it take to get a minor in computer science?,minor-cs
What is the information technology minor?,minor-it
How many classes make up an IT minor?,minor-it
How many credits do I need to have an information technology minor?,minor-it
What is the number of credit hours in the IT minor?,minor-it
How many courses does it take to get a minor in information technology?,minor-it
What are the requirements for the information technology minor?,minor-it
What classes do I need to take in the information technology minor?,minor-it
What classes do I need to complete the IT minor?,minor-it
What courses are part of the IT minor?,minor-it
What are the required courses in the information technology minor?,minor-it
Can I susbtitute courses in the information technology minor?,minor-it
Can I make a course substitution in the IT minor?,minor-it
Can I take a different course in the information technology minor?,minor-it
Can I change a course requirement in the IT minor?,minor-it
Can I change a course requirement for an elective in the information technology minor?,minor-it
How do I sign up for an information technology minor?,minor-it
How do I enroll in the IT minor?,minor-it
What is the process to sign up to have a information technology minor?,minor-it
What is the process to sign up for the IT minor?,minor-it
What do I have to do to sign up for a information technology minor?,minor-it
Am I eligible for an information technology minor?,minor-it
How do I check if I am eligible to have an IT minor?,minor-it
What are the eligibility requirements to take an information technology minor?,minor-it
Can I take an IT minor?,minor-it
How do I check if I can take an information technology minor?,minor-it
How many credit hours is the information technology minor?,minor-it
How many classes make up an IT minor?,minor-it
How many credits do I need to have an information technology minor?,minor-it
What is the number of credit hours in the IT minor?,minor-it
How many courses does it take to get a minor in information technology?,minor-it
What are the research areas in the Department of Computer Science?,research
What areas does the CS department cover?,research
What are the areas of study in the Computer Science Department?,research
What research areas are available in the CS department?,research
Which research areas are available through the Department of Computer Science?,research
How do I transfer credits from another university?,transfer
How do I set up my transfer credits?,transfer
How do I make my transfer credits count?,transfer
Do transfer credits count?,transfer
How do I make transfer credits count towards my degree?,transfer
What do I do if my transfer credits are not showing up on my UCF transcript?,transfer
My transfer credits are not showing up on my transcript.,transfer
What if my transfer credits do not show up?,transfer
Who do I talk to if my transfer credits are not being counted?,transfer
My transfer courses seem to not be counting toward my degree.,transfer
How do I sign up to take a transient course?,transient
How do I enroll in transient classes?,transient
I want to take a transiet class?,transient
How do I take a course with another university?,transient
How do I know if a transient course meets my degree requirements?,transient
Who is my undergraduate advisor?,undergrad-advising
Who is my advisor?,undergrad-advising
I don't know who my advisor is.,undergrad-advising
I don't know who my undergraduate advisor is.,undergrad-advising
How do I know who my advisor is?,undergrad-advising
Where is the CS Undergraduate Acadamic Advising Office?,undergrad-advising
Where is the Computer Science Advising Office?,undergrad-advising
Where is the CS office of advising?,undergrad-advising
Where can I find the CS Advising Office?,undergrad-advising
Where do I find the Computer Science Undergraduate Academic Advising Office?,undergrad-advising
How do I contact the CS Undergraduate Acadamic Advising Office?,undergrad-advising
How do I contact the Computer Science Advising Office?,undergrad-advising
How do I contact my advisor?,undergrad-advising
How do I contact the CS office of advising?,undergrad-advising
I don't know how to contact my undergraduate advisor.,undergrad-advising
What are the hours for the CS Undergraduate Acadamic Advising Office?,undergrad-advising
What are the hours of the Computer Science Advising Office?,undergrad-advising
When does the CS Undergraduate Advising Office open?,undergrad-advising
When does the CS Undergraduate Advising Office close?,undergrad-advising
At what time does the CS office of advising open and close?,undergrad-advising
How do I enroll in a graduate course as an undergraduate student?,undergrad-grad
How do I get into a grad class?,undergrad-grad
I can't sign up for a grad class. How do I enroll?,undergrad-grad
How do I sign up for a graduate class as an undergrad?,undergrad-grad
How do I get an override into a grad class as an undergrad?,undergrad-grad
How do I get a course override form to get into a graduate course as an undergraduate student?,undergrad-grad
Where do I find a course override form for grad classes?,undergrad-grad
How do I fill out a course override form to get into a grad class as an undergrad?,undergrad-grad
How do I complete a course override into a graduate course?,undergrad-grad
How do I have a course override form signed to get into a grad class?,undergrad-grad
