pattern,tag
What majors does the CS department offer?,majors
Which majors are in the Accelerated BS-to-MS Program?,majors
What are the available majors in the BS to MS program,majors
What majors can I take through the Accelerated BS-MS program?,majors
What are the available paths in the 5 year BS to MS program?,majors
What majors are available in the BS-MS program?,majors
What is the mission of the Department of Computer Science?,mission
What is the mission of the CS department?,mission
Does the CS department have a mission?,mission
What is the Computer Science Department's mission?,mission
What is the CS department's main mission?,mission
Do I need to take the CS Foundation Exam?,need
How do I know if I need to take the Computer Science Foundation Exam?,need
How do I check if I am ready to take the Computer Science FE?,need
Do I need to take the Computer Science Foundation Exam?,need
Do I need to take the foundation exam?,need
Can I take a computer science course if I am not a computer science major?,non-majors
Can I take a CS class if I'm not a CS major?,non-majors
Are CS courses only for CS majors?,non-majors
Are computer science courses available to non-CS majors?,non-majors
Can I take a CS course not being a computer science major?,non-majors
What do I do if my transfer credits are not showing up on my UCF transcript?,not-showing
My transfer credits are not showing up on my transcript.,not-showing
What if my transfer credits do not show up?,not-showing
Who do I talk to if my transfer credits are not being counted?,not-showing
My transfer courses seem to not be counting toward my degree.,not-showing
How do I get a course override form to get into a graduate course as an undergraduate student?,override
Where do I find a course override form for grad classes?,override
How do I fill out a course override form to get into a grad class as an undergrad?,override
How do I complete a course override into a graduate course?,override
How do I have a course override form signed to get into a grad class?,override
How do I fill out the Plan of Study form for the Accelerated BS-to-MS Program?,planofstudy
How do I fill out the Plan of Study form for the BS to MS program?,planofstudy
Where do I find the BS to MS Plan of Study form?,planofstudy
How do I complete the Plan of Study form for the Accelerated BS MS program?,planofstudy
How do I complete the BS to MS Plan of Study form?,planofstudy
How do I update the Plan of Study form for the Accelerated BS-to-MS Program?,planofstudy-update
How do I update the Plan of Study form for the BS to MS program?,planofstudy-update
Where do I update the BS to MS Plan of Study form?,planofstudy-update
How do I update the Plan of Study form for the Accelerated BS MS program?,planofstudy-update
How do I update the BS to MS Plan of Study form?,planofstudy-update
What do I do once I pass the CS Foundation Exam?,post-exam
"Once I pass the Computer Science foundation, what are the next steps?",post-exam
What are the next steps after passing the CS Foundation Exam?,post-exam
What do I do once I pass the Computer Science FE exam?,post-exam
"Once I pass the CS Foundation Exam, what do I do?",post-exam
What are the requirements for the computer science major?,requirements
What classes do I need to take in the computer science major?,requirements
What classes do I need to complete the CS major?,requirements
What courses are part of the CS major?,requirements
What are the required courses in the computer science major?,requirements
What are the requirements for the information technology major?,requirements
What classes do I need to take in the information technology major?,requirements
What classes do I need to complete the IT major?,requirements
What courses are part of the IT major?,requirements
What are the required courses in the information technology major?,requirements
What are the requirements for the computer science minor?,requirements
What classes do I need to take in the computer science minor?,requirements
What classes do I need to complete the CS minor?,requirements
What courses are part of the CS minor?,requirements
What are the required courses in the computer science minor?,requirements
What are the requirements for the information technology minor?,requirements
What classes do I need to take in the information technology minor?,requirements
What classes do I need to complete the IT minor?,requirements
What courses are part of the IT minor?,requirements
What are the required courses in the information technology minor?,requirements
How do I sign up for the Accelerated BS-to-MS Program?,sign-up
How do I enroll in the BS-to-MS program?,sign-up
How do I sign up for the BS MS program?,sign-up
How do I get into the 5 Year BS-to-MS accelerated program?,sign-up
How do I sign up for the BS to MS accelerated program?,sign-up
How do I sign up for the CS Foundation Exam?,sign-up
How do I enroll in the CS Foundation Exam?,sign-up
What is the process to sign up for the Computer Science FE exam?,sign-up
What is the process to sign up for the Computer Science Foundation Exam?,sign-up
What do I have to do to sign up for the CS Foundation Exam?,sign-up
How do I sign up for a computer science minor?,sign-up
How do I enroll in the CS minor?,sign-up
What is the process to sign up to have a computer science minor?,sign-up
What is the process to sign up for the CS minor?,sign-up
What do I have to do to sign up for a computer science minor?,sign-up
How do I sign up for an information technology minor?,sign-up
How do I enroll in the IT minor?,sign-up
What is the process to sign up to have a information technology minor?,sign-up
What is the process to sign up for the IT minor?,sign-up
What do I have to do to sign up for a information technology minor?,sign-up
How do I sign up to take a transient course?,sign-up
How do I enroll in transient classes?,sign-up
I want to take a transiet class?,sign-up
How do I take a course with another university?,sign-up
How do I know if a transient course meets my degree requirements?,sign-up
What is the Department of Computer Science?,what-is
What is the Department of CS?,what-is
What is the CS Department?,what-is
What is the Computer Science Department?,what-is
What is the CS Dept.?,what-is
What is the Accelerated BS-to-MS Program?,what-is
What is the BS-to-MS program?,what-is
What is the BS-MS program?,what-is
What is the BS to MS Accelerated Program?,what-is
What is the 5 Year BS to MS program?,what-is
What is the CS Foundation Exam?,what-is
What is the Computer Science Foundation Exam?,what-is
What is the Foundation Exam in the CS major?,what-is
What is the FE for Computer Science students?,what-is
What is the Computer Science FE?,what-is
What is the computer science major?,what-is
What is the CS major?,what-is
What does the CS major entail?,what-is
What does the computer science minor major?,what-is
Is there a computer science major?,what-is
What is the information technology major?,what-is
What is the IT major?,what-is
What does the IT major entail?,what-is
What does the information technology minor major?,what-is
Is there an information technology major?,what-is
What is the computer science minor?,what-is
What is the CS minor?,what-is
What does the CS minor entail?,what-is
What does the computer science minor entail?,what-is
Is there a computer science minor?,what-is
What is the information technology minor?,what-is
How many classes make up an IT minor?,what-is
How many credits do I need to have an information technology minor?,what-is
What is the number of credit hours in the IT minor?,what-is
How many courses does it take to get a minor in information technology?,what-is
Where is the CS Undergraduate Acadamic Advising Office?,where-is
Where is the Computer Science Advising Office?,where-is
Where is the CS office of advising?,where-is
Where can I find the CS Advising Office?,where-is
Where do I find the Computer Science Undergraduate Academic Advising Office?,where-is
Who is my undergraduate advisor?,who-is
Who is my advisor?,who-is
I don't know who my advisor is.,who-is
I don't know who my undergraduate advisor is.,who-is
How do I know who my advisor is?,who-is
